country,indicator,year,value
Africa Eastern and Southern,GDP,2024,1242693542929.85
Africa Eastern and Southern,GDP,2023,1179359054880.45
Africa Eastern and Southern,GDP,2022,1228967879390.01
Africa Eastern and Southern,GDP,2021,1114144799994.21
Africa Eastern and Southern,GDP,2020,938607563405.087
Africa Eastern and Southern,GDP,2019,1018714795912.35
Africa Eastern and Southern,GDP,2018,1020955778298.17
Africa Eastern and Southern,GDP,2017,978076465866.452
Africa Eastern and Southern,GDP,2016,831868076442.431
Africa Eastern and Southern,GDP,2015,910002035578.038
Africa Western and Central,GDP,2024,736384961061.523
Africa Western and Central,GDP,2023,938238370514.198
Africa Western and Central,GDP,2022,1063649130876.99
Africa Western and Central,GDP,2021,1026651004045.79
Africa Western and Central,GDP,2020,963784699293.976
Africa Western and Central,GDP,2019,1026996211935.8
Africa Western and Central,GDP,2018,777840323023.311
Africa Western and Central,GDP,2017,694051345937.233
Africa Western and Central,GDP,2016,700028168335.244
Africa Western and Central,GDP,2015,778022057597.448
Arab World,GDP,2024,3735881442514.35
Arab World,GDP,2023,3622495663981.78
Arab World,GDP,2022,3747416641077.46
Arab World,GDP,2021,3085141461685.6
Arab World,GDP,2020,2604104981819.8
Arab World,GDP,2019,2965285548936.01
Arab World,GDP,2018,2920829737234.67
Arab World,GDP,2017,2611323720520
Arab World,GDP,2016,2536564595458.87
Arab World,GDP,2015,2580328583417.41
Caribbean small states,GDP,2024,90344593407.0487
Caribbean small states,GDP,2023,79534673452.944
Caribbean small states,GDP,2022,78506430710.7309
Caribbean small states,GDP,2021,62687149265.4471
Caribbean small states,GDP,2020,53320869430.7059
Caribbean small states,GDP,2019,62185458482.7062
Caribbean small states,GDP,2018,61252081219.8672
Caribbean small states,GDP,2017,59690101434.3488
Caribbean small states,GDP,2016,58073168349.5106
Caribbean small states,GDP,2015,62545153672.0285
Central Europe and the Baltics,GDP,2024,2462005273603.48
Central Europe and the Baltics,GDP,2023,2273205742208.3
Central Europe and the Baltics,GDP,2022,1954419184114.96
Central Europe and the Baltics,GDP,2021,1926347717339
Central Europe and the Baltics,GDP,2020,1678294256145.3
Central Europe and the Baltics,GDP,2019,1684318282245.77
Central Europe and the Baltics,GDP,2018,1656383422202.66
Central Europe and the Baltics,GDP,2017,1467501784248.85
Central Europe and the Baltics,GDP,2016,1321561415743.83
Central Europe and the Baltics,GDP,2015,1297141271990.05
Early-demographic dividend,GDP,2024,15808304487948.1
Early-demographic dividend,GDP,2023,14933453330998.3
Early-demographic dividend,GDP,2022,14034689936337.3
Early-demographic dividend,GDP,2021,12695008338487.8
Early-demographic dividend,GDP,2020,10823343545638.3
Early-demographic dividend,GDP,2019,11686574879191.1
Early-demographic dividend,GDP,2018,11478917653356.5
Early-demographic dividend,GDP,2017,11320553240043.8
Early-demographic dividend,GDP,2016,10423237803666.1
Early-demographic dividend,GDP,2015,10127250782286.2
East Asia & Pacific,GDP,2024,32017179839273
East Asia & Pacific,GDP,2023,31417826880875
East Asia & Pacific,GDP,2022,31266291368260.6
East Asia & Pacific,GDP,2021,31675719814404.9
East Asia & Pacific,GDP,2020,27578839610232.4
East Asia & Pacific,GDP,2019,27427259967363.2
East Asia & Pacific,GDP,2018,26853593303707.3
East Asia & Pacific,GDP,2017,24656162308335.2
East Asia & Pacific,GDP,2016,23089672188769.4
East Asia & Pacific,GDP,2015,22299105656919.6
East Asia & Pacific (excluding high income),GDP,2024,22260810771875.1
East Asia & Pacific (excluding high income),GDP,2023,21644412635340.6
East Asia & Pacific (excluding high income),GDP,2022,21563881384135.8
East Asia & Pacific (excluding high income),GDP,2021,21231425978691.4
East Asia & Pacific (excluding high income),GDP,2020,17805166443182.2
East Asia & Pacific (excluding high income),GDP,2019,17503274977303.3
East Asia & Pacific (excluding high income),GDP,2018,16902110052652.3
East Asia & Pacific (excluding high income),GDP,2017,15115625540264.8
East Asia & Pacific (excluding high income),GDP,2016,13844122751569.4
East Asia & Pacific (excluding high income),GDP,2015,13548904084321.4
East Asia & Pacific (IDA & IBRD countries),GDP,2024,22233362919728.4
East Asia & Pacific (IDA & IBRD countries),GDP,2023,21617676926854.5
East Asia & Pacific (IDA & IBRD countries),GDP,2022,21537214774462.6
East Asia & Pacific (IDA & IBRD countries),GDP,2021,21205187136185.7
East Asia & Pacific (IDA & IBRD countries),GDP,2020,17783207218899.1
East Asia & Pacific (IDA & IBRD countries),GDP,2019,17481715455963.4
East Asia & Pacific (IDA & IBRD countries),GDP,2018,16881316789674.4
East Asia & Pacific (IDA & IBRD countries),GDP,2017,15097056837158.2
East Asia & Pacific (IDA & IBRD countries),GDP,2016,13827151057380.2
East Asia & Pacific (IDA & IBRD countries),GDP,2015,13532272043462.5
Euro area,GDP,2024,16485444160371
Euro area,GDP,2023,15854782417877
Euro area,GDP,2022,14488160081806.7
Euro area,GDP,2021,14924551716260.4
Euro area,GDP,2020,13267554461613.6
Euro area,GDP,2019,13589774677631.3
Euro area,GDP,2018,13871778197583.7
Euro area,GDP,2017,12841960349280.8
Euro area,GDP,2016,12123283574466.5
Euro area,GDP,2015,11829834353286.1
Europe & Central Asia,GDP,2024,29291828957768.8
Europe & Central Asia,GDP,2023,27732942821913.5
Europe & Central Asia,GDP,2022,25798700454390.6
Europe & Central Asia,GDP,2021,25572901699926.6
Europe & Central Asia,GDP,2020,22322527185686.7
Europe & Central Asia,GDP,2019,23067540030248.6
Europe & Central Asia,GDP,2018,23342642668393.3
Europe & Central Asia,GDP,2017,21791487069281.7
Europe & Central Asia,GDP,2016,20528432079127.4
Europe & Central Asia,GDP,2015,20603435735279.5
Europe & Central Asia (excluding high income),GDP,2024,2451180144505.47
Europe & Central Asia (excluding high income),GDP,2023,2143244215113.25
Europe & Central Asia (excluding high income),GDP,2022,1820242864725.1
Europe & Central Asia (excluding high income),GDP,2021,1680958734568.53
Europe & Central Asia (excluding high income),GDP,2020,1446077189727.52
Europe & Central Asia (excluding high income),GDP,2019,1508679974755.36
Europe & Central Asia (excluding high income),GDP,2018,1477488205993.51
Europe & Central Asia (excluding high income),GDP,2017,1499595960769.3
Europe & Central Asia (excluding high income),GDP,2016,1450171284448.8
Europe & Central Asia (excluding high income),GDP,2015,1510474002479.16
Europe & Central Asia (IDA & IBRD countries),GDP,2024,6131674441421.64
Europe & Central Asia (IDA & IBRD countries),GDP,2023,5562782514647.52
Europe & Central Asia (IDA & IBRD countries),GDP,2022,5264484546456.79
Europe & Central Asia (IDA & IBRD countries),GDP,2021,4637763943320.14
Europe & Central Asia (IDA & IBRD countries),GDP,2020,3924139091384.84
Europe & Central Asia (IDA & IBRD countries),GDP,2019,4184533628660.37
Europe & Central Asia (IDA & IBRD countries),GDP,2018,4098990245510.03
Europe & Central Asia (IDA & IBRD countries),GDP,2017,3927649813354.44
Europe & Central Asia (IDA & IBRD countries),GDP,2016,3492088089759.5
Europe & Central Asia (IDA & IBRD countries),GDP,2015,3633660246044.52
European Union,GDP,2024,19497115588443.6
European Union,GDP,2023,18659133072074.8
European Union,GDP,2022,17023612496380.4
European Union,GDP,2021,17495226733585.2
European Union,GDP,2020,15504055464107.4
European Union,GDP,2019,15809073096211.4
European Union,GDP,2018,16092403309151.5
European Union,GDP,2017,14871313684625.8
European Union,GDP,2016,13988147697216.6
European Union,GDP,2015,13656252620703.3
Fragile and conflict affected situations,GDP,2024,1652895518697.74
Fragile and conflict affected situations,GDP,2023,1778723185468.2
Fragile and conflict affected situations,GDP,2022,1918272363969.18
Fragile and conflict affected situations,GDP,2021,1740335947472.93
Fragile and conflict affected situations,GDP,2020,1610227321244.27
Fragile and conflict affected situations,GDP,2019,1811454247630.6
Fragile and conflict affected situations,GDP,2018,1556210403398.5
Fragile and conflict affected situations,GDP,2017,1443031828638.41
Fragile and conflict affected situations,GDP,2016,1358130757341.27
Fragile and conflict affected situations,GDP,2015,1481660318787.67
Heavily indebted poor countries (HIPC),GDP,2024,1145111349262.57
Heavily indebted poor countries (HIPC),GDP,2023,1060316071770.29
Heavily indebted poor countries (HIPC),GDP,2022,1002501492801.3
Heavily indebted poor countries (HIPC),GDP,2021,924417463438.7
Heavily indebted poor countries (HIPC),GDP,2020,816029422839.446
Heavily indebted poor countries (HIPC),GDP,2019,811372254522.343
Heavily indebted poor countries (HIPC),GDP,2018,790373898773.381
Heavily indebted poor countries (HIPC),GDP,2017,735068264238.844
Heavily indebted poor countries (HIPC),GDP,2016,677200621773.188
Heavily indebted poor countries (HIPC),GDP,2015,674606540074.897
High income,GDP,2024,71321142708251.1
High income,GDP,2023,68449582732271.4
High income,GDP,2022,65081334214971.5
High income,GDP,2021,62745314846357.3
High income,GDP,2020,55889737341875.4
High income,GDP,2019,57456170925405.3
High income,GDP,2018,56920619917132.1
High income,GDP,2017,53524059312874.9
High income,GDP,2016,50927970256186.1
High income,GDP,2015,49977567874625.5
IBRD only,GDP,2024,40930410371533.4
IBRD only,GDP,2023,39248258733753.5
IBRD only,GDP,2022,37943329554311.5
IBRD only,GDP,2021,35879316080995.1
IBRD only,GDP,2020,30204027280204.5
IBRD only,GDP,2019,31377057597389.8
IBRD only,GDP,2018,30736778363828.6
IBRD only,GDP,2017,28848700119389
IBRD only,GDP,2016,26133021093477.3
IBRD only,GDP,2015,25937609442668.8
IDA & IBRD total,GDP,2024,43823204664493.9
IDA & IBRD total,GDP,2023,42176516066439.1
IDA & IBRD total,GDP,2022,41018485584725.7
IDA & IBRD total,GDP,2021,38741335342414.8
IDA & IBRD total,GDP,2020,32822847991827.3
IDA & IBRD total,GDP,2019,34078219798939.1
IDA & IBRD total,GDP,2018,33147599934551.5
IDA & IBRD total,GDP,2017,31117686702333.8
IDA & IBRD total,GDP,2016,28286257999424.7
IDA & IBRD total,GDP,2015,28103757036548
IDA blend,GDP,2024,1117411942661.72
IDA blend,GDP,2023,1272526278004.68
IDA blend,GDP,2022,1456880573683.68
IDA blend,GDP,2021,1369357769886.58
IDA blend,GDP,2020,1258453633593.25
IDA blend,GDP,2019,1354444605559.25
IDA blend,GDP,2018,1125278097800.27
IDA blend,GDP,2017,1064701742324.65
IDA blend,GDP,2016,1035761112332.6
IDA blend,GDP,2015,1104888256132.44
IDA only,GDP,2024,1775382350298.79
IDA only,GDP,2023,1655731054680.85
IDA only,GDP,2022,1618275456730.5
IDA only,GDP,2021,1492661491533.09
IDA only,GDP,2020,1360367078029.56
IDA only,GDP,2019,1346717595990.02
IDA only,GDP,2018,1285543472922.62
IDA only,GDP,2017,1204284840620.16
IDA only,GDP,2016,1117475793614.79
IDA only,GDP,2015,1061259337746.72
IDA total,GDP,2024,2892794292960.5
IDA total,GDP,2023,2928257332685.53
IDA total,GDP,2022,3075156030414.18
IDA total,GDP,2021,2862019261419.67
IDA total,GDP,2020,2618820711622.81
IDA total,GDP,2019,2701162201549.27
IDA total,GDP,2018,2410821570722.89
IDA total,GDP,2017,2268986582944.81
IDA total,GDP,2016,2153236905947.39
IDA total,GDP,2015,2166147593879.17
Late-demographic dividend,GDP,2024,29979152245112.6
Late-demographic dividend,GDP,2023,28934446547714.4
Late-demographic dividend,GDP,2022,28550398557203.3
Late-demographic dividend,GDP,2021,27284231194748.9
Late-demographic dividend,GDP,2020,22869539211355
Late-demographic dividend,GDP,2019,23366567397285.6
Late-demographic dividend,GDP,2018,22907660419321.1
Late-demographic dividend,GDP,2017,20889290142886.5
Late-demographic dividend,GDP,2016,18841937712407
Late-demographic dividend,GDP,2015,18797219107172.1
Latin America & Caribbean,GDP,2024,7110323254687.35
Latin America & Caribbean,GDP,2023,6910660006084.82
Latin America & Caribbean,GDP,2022,6144995160894.64
Latin America & Caribbean,GDP,2021,5382862734265.64
Latin America & Caribbean,GDP,2020,4627348896643.87
Latin America & Caribbean,GDP,2019,5473432644126.84
Latin America & Caribbean,GDP,2018,5581100995040.84
Latin America & Caribbean,GDP,2017,5715057427671.23
Latin America & Caribbean,GDP,2016,5148746106826.83
Latin America & Caribbean,GDP,2015,5289615626446.62
Latin America & Caribbean (excluding high income),GDP,2024,6168787362595.33
Latin America & Caribbean (excluding high income),GDP,2023,6014673692976.05
Latin America & Caribbean (excluding high income),GDP,2022,5336050967302.51
Latin America & Caribbean (excluding high income),GDP,2021,4637976019252.06
Latin America & Caribbean (excluding high income),GDP,2020,3991303751042.44
Latin America & Caribbean (excluding high income),GDP,2019,4748616176252.64
Latin America & Caribbean (excluding high income),GDP,2018,4816735877469.79
Latin America & Caribbean (excluding high income),GDP,2017,4960873741744.95
Latin America & Caribbean (excluding high income),GDP,2016,4438833899168.87
Latin America & Caribbean (excluding high income),GDP,2015,4578739613722.79
Latin America & the Caribbean (IDA & IBRD countries),GDP,2024,6776899040059.78
Latin America & the Caribbean (IDA & IBRD countries),GDP,2023,6591336702938.76
Latin America & the Caribbean (IDA & IBRD countries),GDP,2022,5851879329574.93
Latin America & the Caribbean (IDA & IBRD countries),GDP,2021,5118940165028.38
Latin America & the Caribbean (IDA & IBRD countries),GDP,2020,4387909128654.57
Latin America & the Caribbean (IDA & IBRD countries),GDP,2019,5230554354083.41
Latin America & the Caribbean (IDA & IBRD countries),GDP,2018,5347056434773.57
Latin America & the Caribbean (IDA & IBRD countries),GDP,2017,5482764267203.12
Latin America & the Caribbean (IDA & IBRD countries),GDP,2016,4922090097003.8
Latin America & the Caribbean (IDA & IBRD countries),GDP,2015,5068610305411.75
Least developed countries: UN classification,GDP,2024,1536272727812.71
Least developed countries: UN classification,GDP,2023,1459966948607.94
Least developed countries: UN classification,GDP,2022,1474237106700.91
Least developed countries: UN classification,GDP,2021,1303898952961.36
Least developed countries: UN classification,GDP,2020,1179778077659.19
Least developed countries: UN classification,GDP,2019,1169366192253.69
Least developed countries: UN classification,GDP,2018,1116339519831.8
Least developed countries: UN classification,GDP,2017,1044504274790.04
Least developed countries: UN classification,GDP,2016,952622086763.392
Least developed countries: UN classification,GDP,2015,946044369982.556
Low & middle income,GDP,2024,39397098753614.4
Low & middle income,GDP,2023,38059330027172.9
Low & middle income,GDP,2022,36965295357847.5
Low & middle income,GDP,2021,35235417682028
Low & middle income,GDP,2020,29882663470187.9
Low & middle income,GDP,2019,30863484502772.9
Low & middle income,GDP,2018,29945950603040.9
Low & middle income,GDP,2017,28123682410171.2
Low & middle income,GDP,2016,25722739836843.3
Low & middle income,GDP,2015,25457289049147.5
Low income,GDP,2024,469282282632.522
Low income,GDP,2023,434043376409.571
Low income,GDP,2022,434268149844.662
Low income,GDP,2021,375494019860.55
Low income,GDP,2020,339434568554.002
Low income,GDP,2019,352056761148.886
Low income,GDP,2018,341989728902.808
Low income,GDP,2017,326806567421.383
Low income,GDP,2016,317624904429.654
Low income,GDP,2015,361782469708.524
Lower middle income,GDP,2024,7941312381464.47
Lower middle income,GDP,2023,7684634708973.7
Lower middle income,GDP,2022,7588963714927.97
Lower middle income,GDP,2021,7124669005626.3
Lower middle income,GDP,2020,6297797215276.78
Lower middle income,GDP,2019,6527442965633.65
Lower middle income,GDP,2018,6022782110520.98
Lower middle income,GDP,2017,5770458203695
Lower middle income,GDP,2016,5319173245722.59
Lower middle income,GDP,2015,5110516313268.72
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2024,5094721946852.29
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2023,4905729965245.33
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2022,5030925398736.26
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2021,4310652927209.13
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2020,3587451756047.23
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2019,4019889117584.4
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2018,4050508431278.92
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2017,3795353115732.68
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2016,3624240285092.23
"Middle East, North Africa, Afghanistan & Pakistan",GDP,2015,3558416509933.66
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2024,2203604227426.38
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2023,2094668147144.99
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2022,2160815136190.98
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2021,1939712222007.44
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2020,1667961526440.19
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2019,1834354275856.43
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2018,1877875348076.98
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2017,1878260539942.56
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2016,1849124741125.58
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP,2015,1780659355969.3
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2024,2189893127426.38
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2023,2076820247144.99
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2022,2141649636190.98
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2021,1921603222007.44
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2020,1652429826440.19
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2019,1817220775856.43
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2018,1861598748076.98
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2017,1862132539942.56
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2016,1833719341125.58
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP,2015,1766686955969.3
Middle income,GDP,2024,38925709373017.7
Middle income,GDP,2023,37622349618946.3
Middle income,GDP,2022,36528767758177.8
Middle income,GDP,2021,34855974285498.8
Middle income,GDP,2020,29540859400642.8
Middle income,GDP,2019,30509054766961
Middle income,GDP,2018,29601678469854.1
Middle income,GDP,2017,27795014626627.4
Middle income,GDP,2016,25404351578541.5
Middle income,GDP,2015,25097130636126.9
North America,GDP,2024,31003826557365
North America,GDP,2023,29474089705278.7
North America,GDP,2022,27803134368745.3
North America,GDP,2021,25344749345423.2
North America,GDP,2020,22723045707000.2
North America,GDP,2019,23132124767672.5
North America,GDP,2018,22265612481783
North America,GDP,2017,21133744509244.1
North America,GDP,2016,20230005494907.4
North America,GDP,2015,19769184098217.1
OECD members,GDP,2024,67500141717526.3
OECD members,GDP,2023,64648892594414.4
OECD members,GDP,2022,60588200976081.3
OECD members,GDP,2021,59024824389525.6
OECD members,GDP,2020,52851603026620.4
OECD members,GDP,2019,54168727321922
OECD members,GDP,2018,53652083661572.9
OECD members,GDP,2017,50696690374014.3
OECD members,GDP,2016,48552474323847.7
OECD members,GDP,2015,47647221796959.1
Other small states,GDP,2024,208127281931.64
Other small states,GDP,2023,196615944595.18
Other small states,GDP,2022,181859538439.061
Other small states,GDP,2021,172038213758.242
Other small states,GDP,2020,146157676838.952
Other small states,GDP,2019,158530142448.216
Other small states,GDP,2018,158073876709.73
Other small states,GDP,2017,143284613956.474
Other small states,GDP,2016,128159325016.122
Other small states,GDP,2015,121433707011.691
Pacific island small states,GDP,2024,12124739862.5303
Pacific island small states,GDP,2023,11224282183.2085
Pacific island small states,GDP,2022,10350119919.8256
Pacific island small states,GDP,2021,9453908127.9322
Pacific island small states,GDP,2020,9323221713.12119
Pacific island small states,GDP,2019,10624838178.1263
Pacific island small states,GDP,2018,10796141328.2336
Pacific island small states,GDP,2017,10290493043.4688
Pacific island small states,GDP,2016,9556119494.38469
Pacific island small states,GDP,2015,9105865614.90318
Post-demographic dividend,GDP,2024,62787810951925.4
Post-demographic dividend,GDP,2023,60342185357196.3
Post-demographic dividend,GDP,2022,56953387691844.6
Post-demographic dividend,GDP,2021,55667487544829.4
Post-demographic dividend,GDP,2020,49979090891717.8
Post-demographic dividend,GDP,2019,51107356012296.7
Post-demographic dividend,GDP,2018,50607464286251.2
Post-demographic dividend,GDP,2017,47734461117479.6
Post-demographic dividend,GDP,2016,45775578499373.8
Post-demographic dividend,GDP,2015,44767511150189.7
Pre-demographic dividend,GDP,2024,1510802883684.15
Pre-demographic dividend,GDP,2023,1680243373294.08
Pre-demographic dividend,GDP,2022,1860790512304.23
Pre-demographic dividend,GDP,2021,1633932588860.86
Pre-demographic dividend,GDP,2020,1494279104787.47
Pre-demographic dividend,GDP,2019,1634625884352.83
Pre-demographic dividend,GDP,2018,1372023278046.38
Pre-demographic dividend,GDP,2017,1232604777297.1
Pre-demographic dividend,GDP,2016,1178803226989.3
Pre-demographic dividend,GDP,2015,1327634282632.05
Small states,GDP,2024,310642066645.912
Small states,GDP,2023,287374900231.333
Small states,GDP,2022,270716089069.618
Small states,GDP,2021,244179271151.622
Small states,GDP,2020,208801767982.779
Small states,GDP,2019,231340439109.049
Small states,GDP,2018,230122099257.831
Small states,GDP,2017,213265208434.292
Small states,GDP,2016,195788612860.018
Small states,GDP,2015,193084726298.623
South Asia,GDP,2024,4512296631866.31
South Asia,GDP,2023,4210302249458.65
South Asia,GDP,2022,3930640287773.46
South Asia,GDP,2021,3717045071833.11
South Asia,GDP,2020,3172770463749.49
South Asia,GDP,2019,3318484576527.33
South Asia,GDP,2018,3159841615195.07
South Asia,GDP,2017,3075955432871.73
South Asia,GDP,2016,2679313169377.96
South Asia,GDP,2015,2414503392484.38
South Asia (IDA & IBRD),GDP,2024,4512296631866.31
South Asia (IDA & IBRD),GDP,2023,4210302249458.65
South Asia (IDA & IBRD),GDP,2022,3930640287773.46
South Asia (IDA & IBRD),GDP,2021,3717045071833.11
South Asia (IDA & IBRD),GDP,2020,3172770463749.49
South Asia (IDA & IBRD),GDP,2019,3318484576527.33
South Asia (IDA & IBRD),GDP,2018,3159841615195.07
South Asia (IDA & IBRD),GDP,2017,3075955432871.73
South Asia (IDA & IBRD),GDP,2016,2679313169377.96
South Asia (IDA & IBRD),GDP,2015,2414503392484.38
Sub-Saharan Africa,GDP,2024,1979078503991.37
Sub-Saharan Africa,GDP,2023,2117597425394.65
Sub-Saharan Africa,GDP,2022,2292617010267
Sub-Saharan Africa,GDP,2021,2140795804040
Sub-Saharan Africa,GDP,2020,1902392262699.06
Sub-Saharan Africa,GDP,2019,2045711007848.14
Sub-Saharan Africa,GDP,2018,1798796101321.48
Sub-Saharan Africa,GDP,2017,1672127811803.69
Sub-Saharan Africa,GDP,2016,1531896244777.67
Sub-Saharan Africa,GDP,2015,1688024093175.49
Sub-Saharan Africa (excluding high income),GDP,2024,1827170966475.93
Sub-Saharan Africa (excluding high income),GDP,2023,1979535952437.49
Sub-Saharan Africa (excluding high income),GDP,2022,2167458359012.26
Sub-Saharan Africa (excluding high income),GDP,2021,2030237669873.33
Sub-Saharan Africa (excluding high income),GDP,2020,1802332899886.09
Sub-Saharan Africa (excluding high income),GDP,2019,1952007800638.78
Sub-Saharan Africa (excluding high income),GDP,2018,1713673886322.74
Sub-Saharan Africa (excluding high income),GDP,2017,1594086359396
Sub-Saharan Africa (excluding high income),GDP,2016,1461851860219.92
Sub-Saharan Africa (excluding high income),GDP,2015,1624488271641.54
Sub-Saharan Africa (IDA & IBRD countries),GDP,2024,1979078503991.37
Sub-Saharan Africa (IDA & IBRD countries),GDP,2023,2117597425394.64
Sub-Saharan Africa (IDA & IBRD countries),GDP,2022,2292617010267
Sub-Saharan Africa (IDA & IBRD countries),GDP,2021,2140795804040
Sub-Saharan Africa (IDA & IBRD countries),GDP,2020,1902392262699.06
Sub-Saharan Africa (IDA & IBRD countries),GDP,2019,2045711007848.14
Sub-Saharan Africa (IDA & IBRD countries),GDP,2018,1798796101321.48
Sub-Saharan Africa (IDA & IBRD countries),GDP,2017,1672127811803.69
Sub-Saharan Africa (IDA & IBRD countries),GDP,2016,1531896244777.67
Sub-Saharan Africa (IDA & IBRD countries),GDP,2015,1688024093175.49
Upper middle income,GDP,2024,30986054597959.2
Upper middle income,GDP,2023,29939274216922.3
Upper middle income,GDP,2022,28940725480186.1
Upper middle income,GDP,2021,27732726329893.6
Upper middle income,GDP,2020,23243062185366.1
Upper middle income,GDP,2019,23981611801327.3
Upper middle income,GDP,2018,23578896359333.1
Upper middle income,GDP,2017,22024556422932.4
Upper middle income,GDP,2016,20085178332818.9
Upper middle income,GDP,2015,19986614322858.2
World,GDP,2024,110982661180013
World,GDP,2023,106741647821064
World,GDP,2022,102251524725531
World,GDP,2021,98140475264975.9
World,GDP,2020,85912761035231.2
World,GDP,2019,88483262418196.6
World,GDP,2018,87050964956078.4
World,GDP,2017,81839102917044.7
World,GDP,2016,76831684012526.2
World,GDP,2015,75621913961646.2
Afghanistan,GDP,2023,17152234636.8715
Afghanistan,GDP,2022,14497243872.1337
Afghanistan,GDP,2021,14259995441.0759
Afghanistan,GDP,2020,19955929052.1496
Afghanistan,GDP,2019,18799444490.1128
Afghanistan,GDP,2018,18053222687.4126
Afghanistan,GDP,2017,18753456497.8159
Afghanistan,GDP,2016,18116572395.0772
Afghanistan,GDP,2015,19134221644.7325
